Assembly Accession	Organism Name	Organism Taxonomic ID
GCA_932294325.1	Allophyes oxyacanthae	988056
GCA_946863875.1	Alloplasta piceator	2870495
GCA_963675035.1	Allygus modestus	2591979
GCF_017589495.1	Alosa alosa	278164
GCF_018492685.1	Alosa sapidissima	34773
GCA_946251855.1	Alsophila aescularia	104486
GCA_964028335.1	Altica lythri	346691
GCA_964059475.1	Alucita hexadactyla	753150
GCA_963584105.1	Alviniconcha strummeri	1472349
GCA_951213105.1	Amaurobius ferox	336583
GCA_017639355.1	Amazona aestiva	12930
GCA_039720435.1	Amazona ochrocephala	151761
GCA_963575735.1	Amblyjoppa fuscipennis	2867249
GCA_963922035.1	Amblyjoppa proteus	1905387
GCF_010909765.2	Amblyraja radiata	386614
GCA_933228735.2	Amblyteles armatorius	231887
GCF_040938575.1	Ambystoma mexicanum	8296
GCA_012411365.1	Ameiurus melas	219545
GCA_964300355.1	Americardia media	241156
GCA_963989295.1	Ametastegia equiseti	655806
GCF_036373705.1	Amia calva	7924
GCA_026122265.1	Ammodytes dubius	1266862
GCA_949987685.1	Ammodytes marinus	146480
GCF_027887145.1	Ammospiza caudacuta	2857398
GCA_036010785.1	Ammospiza maritima maritima	3111550
GCF_027579445.1	Ammospiza nelsoni	2857394
GCA_949126905.1	Amorpha juglandis	522887
GCA_964234815.1	Ampedus sanguinolentus	941989
GCA_964274985.1	Amphibalanus improvisus	1220549
GCA_949316495.1	Amphiduros pacificus	1209993
GCA_013435755.1	Amphilophus citrinellus	61819
GCA_963170755.1	Amphimallon solstitiale	360071
GCA_947508005.1	Amphipoea lucens	987875
GCA_945859645.1	Amphipoea oculea	987876
GCA_027123335.1	Amphiprion clarkii	80970
GCF_022539595.1	Amphiprion ocellaris	80972
GCA_003047355.2	Amphiprion percula	161767
GCA_910594945.2	Amphipyra berbera	987877
GCA_905220435.1	Amphipyra tragopoginis	689058
GCA_964187785.1	Amphiscolops sp. MND2022	2979135
GCA_039555335.1	Amphiura filiformis	82378
GCF_032362555.1	Amyelois transitella	680683
GCF_900324465.2	Anabas testudineus	64144
GCA_900324465.3	Anabas testudineus	64144
GCA_014839685.1	Anableps anableps	195821
GCF_040414725.1	Anabrus simplex	316456
GCA_021292105.1	Anadara kagoshimensis	1390362
GCA_964187705.1	Anaecypris hispanica	71183
GCA_949315895.1	Anania crocealis	1100908
GCA_950371115.1	Anania fuscalis	1100909
GCA_963576865.1	Anania hortulata	1594229
GCA_964194435.1	Anaplectoides prasina	214030
GCA_947563765.1	Anarsia innoxiella	2566270
GCF_963932015.1	Anas acuta	28680
GCF_015476345.1	Anas platyrhynchos	8839
GCA_964243895.1	Anaspis frontalis	433021
GCA_949128115.1	Anaspis maculata	295995
GCA_964204715.1	Anaspis regimbarti	346699
GCF_028408465.1	Anastrepha ludens	28586
GCF_027943255.1	Anastrepha obliqua	95512
GCA_916049575.1	Ancistrocerus nigricornis	76990
GCA_964214005.1	Ancylis achatana	1869464
GCA_960531205.1	Andrena bicolor	1190795
GCA_947577245.1	Andrena bucephala	1542580
GCA_029448645.1	Andrena camellia	1862692
GCA_963855975.1	Andrena chrysosceles	1411665
GCA_929108735.1	Andrena dorsata	1411666
GCA_963971345.1	Andrena flavipes	473392
GCA_946251845.1	Andrena fulva	1411667
GCA_910592295.1	Andrena haemorrhoa	444401
GCA_944738655.2	Andrena hattorfiana	1126402
GCA_964234935.1	Andrena helvola	1190801
GCA_963932335.1	Andrena marginata	1542598
GCA_929113495.1	Andrena minutula	1190802
GCA_964214045.1	Andrena nitida	1126404
GCA_963932275.1	Andrena praecox	1190803
GCA_951215215.1	Andrena trimmerana	1431430
GCA_964291865.1	Anerastia lotella	1666820
GCF_013347855.1	Anguilla anguilla	7936
GCA_039654925.2	Anguilla bicolor pacifica	61126
GCA_025169545.1	Anguilla japonica	7937
GCF_018555375.3	Anguilla rostrata	7938
GCA_964188095.1	Anisosticta novemdecimpunctata	185876
GCA_949126835.1	Anisus vortex	271030
GCA_964264155.1	Anisus vorticulus	3071549
GCA_964016985.1	Anodontia alba	244458
GCF_035594765.1	Anolis carolinensis	28377
GCF_037176765.1	Anolis sagrei	38937
GCF_031753505.1	Anomalospiza imberbis	187417
GCA_951828415.1	Anomoia purmunda	103414
GCF_013758885.1	Anopheles albimanus	7167
GCF_943734665.1	Anopheles aquasalis	42839
GCA_943734665.2	Anopheles aquasalis	42839
GCF_016920715.1	Anopheles arabiensis	7173
GCF_943735745.2	Anopheles bellator	139047
GCF_943734685.1	Anopheles coluzzii	1518534
GCF_943734705.1	Anopheles coustani	139045
GCF_943734635.1	Anopheles cruzii	68878
GCF_943734745.1	Anopheles darlingi	43151
GCF_943734845.2	Anopheles funestus	62324
GCA_016170035.1	Anopheles funestus-like sensu Spillings et al. (2009)	2763070
GCF_943734735.2	Anopheles gambiae	7165
GCA_016170015.1	Anopheles longipalpis	412009
GCF_943734695.1	Anopheles maculipalpis	1496333
GCF_943734725.1	Anopheles marshallii	1521116
GCF_017562075.2	Anopheles merus	30066
GCF_943734755.1	Anopheles moucheti	186751
GCF_943737925.1	Anopheles nili	185578
GCA_016254315.1	Anopheles parensis	162637
GCA_018908115.1	Anopheles rivulorum	70327
GCF_013141755.1	Anopheles stephensi	30069
GCA_016170025.1	Anopheles vaneedeni	62325
GCF_943734765.1	Anopheles ziemanni	345580
GCA_914767735.1	Anoplius nigerrimus	1667466
GCF_027596085.1	Anoplopoma fimbria	229290
GCA_945859665.1	Anorthoa munda	988060
GCA_964211835.1	Anser anser	8843
GCA_964034855.1	Anser brachyrhynchus	132585
GCF_040182565.1	Anser cygnoides	8845
GCA_025583725.1	Anser indicus	8846
GCF_016432865.1	Antechinus flavipes	38775
GCA_963402885.1	Antedon bifida	72669
GCA_013358685.1	Antennarius maculatus	882753
GCF_040054535.1	Antennarius striatus	241820
GCA_036509395.1	Antheraea yamamai	7121
GCA_964269795.2	Anthias anthias	327821
GCA_022405125.1	Anthidium xuezhongi	2840466
GCA_905404175.1	Anthocharis cardamines	227532
GCA_964258815.1	Anthocomus fasciatus	346704
GCA_964249955.1	Anthocoris nemoralis	191314
GCA_964263875.1	Anthomyza gracilis	500284
GCF_022605725.1	Anthonomus grandis grandis	2921223
GCA_951804975.1	Anthophora plumipes	478167
GCA_964304775.1	Anthopleura artemisia	160216
GCA_964019055.1	Anthopleura xanthogrammica	6112
GCA_963971155.1	Anthrax anthrax	2725500
GCA_947579855.1	Anticlea derivata	934824
GCA_947359405.1	Antitype chi	988062
GCA_027563665.1	Antrozous pallidus	9440
GCA_030068395.1	Apalone spinifera	55534
GCA_951799955.1	Apamea anceps	997526
GCA_949629185.1	Apamea crenata	753153
GCA_947507525.1	Apamea epomidion	987880
GCA_911387795.2	Apamea monoglypha	875885
GCA_945859715.1	Apamea sordens	689061
GCA_964263905.1	Apamea sublustris	987887
GCA_934044485.1	Apeira syringaria	934915
GCA_021346845.1	Apeltes quadracus	240154
GCA_964237545.1	Aphelia paleana	753154
GCA_020882685.1	Aphelinus atriplicis	2890793
GCA_020882725.1	Aphelinus certus	1041456
GCF_041296385.1	Aphelocoma coerulescens	39617
GCA_041296385.2	Aphelocoma coerulescens	39617
GCA_963966015.1	Aphidecta obliterata	1501862
GCF_014905175.1	Aphidius gifuensis	684658
GCA_030463065.1	Aphidoletes aphidimyza	95972
GCF_020184175.1	Aphis gossypii	80765
GCA_964211865.1	Aphodius fimetarius	207148
GCA_963971325.1	Aphodius granarius	207157
GCA_963966075.1	Aphodius sticticus	207213
